frame,timestamp_s,pitch_deg,yaw_deg,roll_deg,is_nod
311,12.958,12.61,12.75,-9.99,0
312,13.000,12.72,12.93,-10.07,0
313,13.042,12.64,13.16,-10.31,0
314,13.083,13.12,12.52,-10.36,0
315,13.125,12.98,12.48,-10.47,1
316,13.167,12.64,13.40,-10.32,0
317,13.208,12.75,13.13,-10.37,0
318,13.250,12.59,12.43,-10.48,0
319,13.292,12.71,14.27,-10.33,0
320,13.333,12.66,14.32,-10.44,1
321,13.375,12.28,15.75,-10.43,0
322,13.417,12.30,17.14,-10.54,0
323,13.458,13.00,15.60,-11.00,0
324,13.500,11.74,15.33,-11.55,0
325,13.542,10.38,13.67,-12.31,1
326,13.583,9.83,12.94,-12.80,0
327,13.625,8.54,14.10,-12.70,0
328,13.667,8.17,13.32,-13.31,0
329,13.708,6.67,13.58,-13.25,0
330,13.750,5.73,11.10,-14.09,1
331,13.792,3.70,12.28,-14.11,0
332,13.833,2.53,11.71,-14.25,0
333,13.875,2.00,11.13,-14.02,0
334,13.917,1.40,10.81,-14.08,0
335,13.958,0.01,11.52,-14.18,0
336,14.000,1.45,11.29,-13.53,0
337,14.042,1.93,13.02,-13.91,0
338,14.083,4.18,15.44,-13.38,0
339,14.125,5.64,14.53,-13.06,0
340,14.167,7.79,13.74,-12.75,0
341,14.208,11.34,15.36,-12.14,0
342,14.250,12.63,13.74,-13.05,0
343,14.292,2.75,17.19,163.70,0
344,14.333,4.67,16.36,164.19,0
345,14.375,5.29,16.81,164.00,0
346,14.417,5.91,16.60,164.14,0
347,14.458,5.71,15.67,164.17,1
348,14.500,4.89,16.10,164.21,0
349,14.542,5.59,14.50,164.33,0
350,14.583,4.37,14.73,164.41,0
351,14.625,3.86,14.26,164.34,0
352,14.667,3.34,14.54,164.29,1
353,14.708,2.50,13.57,164.61,0
354,14.750,2.14,13.81,164.52,0
355,14.792,2.64,14.24,164.50,0
356,14.833,2.28,15.19,164.41,0
357,14.875,3.35,14.91,164.32,0
358,14.917,4.01,15.12,164.55,0
359,14.958,5.00,14.38,164.49,1
360,15.000,5.07,14.47,164.57,0
361,15.042,4.18,13.23,164.94,0
362,15.083,16.34,8.95,-12.39,0
363,15.125,4.01,13.05,165.39,0
364,15.167,2.86,14.79,164.79,1
365,15.208,2.93,14.56,164.85,0
366,15.250,3.66,14.42,164.68,0
367,15.292,3.34,15.83,164.29,0
368,15.333,3.12,16.75,164.16,0
369,15.375,3.37,16.56,164.29,1
370,15.417,4.13,15.08,164.38,0
371,15.458,4.33,14.35,164.51,0
372,15.500,3.95,13.88,164.41,0
373,15.542,4.24,13.02,164.61,0
374,15.583,3.35,13.85,164.41,1
375,15.625,3.14,14.49,164.41,0
376,15.667,3.23,15.03,164.35,0
377,15.708,2.97,15.76,164.40,0
378,15.750,3.11,15.50,164.36,0
379,15.792,3.06,15.36,164.51,1
380,15.833,3.46,14.49,164.56,0
381,15.875,3.55,14.19,164.62,0
